,Year,Month,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela
0,2020,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020,February,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020,March,1054.0,107.0,5715.0,2842.0,906.0,2240.0,12.0,65.0,1065.0,9.0,338.0,135.0
3,2020,April,3374.0,1060.0,81470.0,14858.0,5601.0,22694.0,70.0,201.0,35911.0,1.0,305.0,198.0
4,2020,May,12423.0,8815.0,427662.0,105848.0,22876.0,14164.0,71.0,720.0,127500.0,13.0,180.0,1177.0
5,2020,June,47679.0,23237.0,887192.0,155843.0,68463.0,17334.0,92.0,1235.0,120737.0,492.0,113.0,4322.0
6,2020,July,126772.0,43570.0,1260444.0,76274.0,197662.0,28923.0,168.0,3117.0,122279.0,1135.0,328.0,12742.0
7,2020,August,226433.0,39809.0,1245787.0,56059.0,319586.0,28412.0,893.0,12324.0,239674.0,2384.0,331.0,28154.0
8,2020,September,333266.0,18713.0,902663.0,51265.0,214585.0,23280.0,1588.0,23096.0,164602.0,843.0,451.0,28394.0
9,2020,October,415923.0,6446.0,724670.0,47265.0,244505.0,31145.0,1268.0,22427.0,88412.0,326.0,1078.0,16891.0
10,2020,November,257609.0,2951.0,800273.0,41487.0,242622.0,24493.0,1244.0,19239.0,62350.0,109.0,2733.0,10381.0
11,2020,December,200981.0,15416.0,1340095.0,57230.0,325969.0,19827.0,926.0,25508.0,52607.0,898.0,13262.0,11164.0
12,2021,January,301725.0,56711.0,1528758.0,118136.0,452109.0,38316.0,1309.0,25295.0,123102.0,2228.0,22619.0,13369.0
13,2021,February,180126.0,32175.0,1346528.0,97516.0,156806.0,35327.0,944.0,26247.0,185624.0,491.0,16256.0,12189.0
14,2021,March,241456.0,23401.0,2197488.0,170913.0,154687.0,42600.0,1664.0,55193.0,224944.0,193.0,47555.0,21381.0
15,2021,April,628542.0,31321.0,1910264.0,202707.0,453347.0,53107.0,3034.0,64410.0,250638.0,1241.0,92879.0,37186.0
16,2021,May,556876.0,43126.0,1365846.0,124341.0,355778.0,31899.0,2612.0,53148.0,114291.0,2813.0,65396.0,24752.0
